iter	Passed	Remaining
0	174	173965
1	206	102889
2	234	77766
3	258	64324
4	284	56632
5	308	51025
6	334	47443
7	357	44330
8	383	42193
9	409	40560
10	439	39545
11	466	38384
12	492	37405
13	523	36894
14	547	35949
15	570	35098
16	593	34329
17	618	33737
18	641	33118
19	666	32635
20	689	32148
21	713	31722
22	737	31332
23	759	30889
24	789	30787
25	813	30491
26	839	30240
27	885	30748
28	934	31300
29	968	31304
30	999	31236
31	1038	31428
32	1085	31802
33	1116	31723
34	1149	31702
35	1192	31938
36	1218	31713
37	1247	31591
38	1275	31417
39	1299	31193
40	1322	30928
41	1343	30642
42	1368	30446
43	1390	30216
44	1412	29983
45	1435	29780
46	1460	29615
47	1483	29421
48	1503	29187
49	1525	28976
50	1548	28808
51	1571	28644
52	1593	28467
53	1616	28319
54	1638	28158
55	1660	27986
56	1688	27941
57	1710	27780
58	1733	27642
59	1755	27497
60	1775	27332
61	1800	27241
62	1824	27132
63	1847	27019
64	1872	26935
65	1908	27007
66	1974	27498
67	2013	27602
68	2074	27995
69	2113	28075
70	2135	27939
71	2160	27842
72	2185	27752
73	2208	27634
74	2228	27488
75	2251	27374
76	2276	27291
77	2297	27160
78	2323	27089
79	2345	26976
80	2366	26847
81	2391	26774
82	2413	26669
83	2435	26563
84	2457	26454
85	2479	26351
86	2503	26277
87	2526	26182
88	2546	26069
89	2572	26010
90	2596	25933
91	2619	25853
92	2644	25794
93	2666	25702
94	2689	25616
95	2713	25551
96	2735	25466
97	2756	25371
98	2779	25292
99	2801	25212
100	2825	25149
101	2848	25076
102	2869	24990
103	2890	24906
104	2913	24835
105	2935	24761
106	2956	24676
107	2977	24590
108	2999	24520
109	3027	24492
110	3048	24415
111	3069	24332
112	3092	24277
113	3120	24251
114	3141	24176
115	3164	24113
116	3187	24057
117	3208	23985
118	3236	23958
119	3256	23882
120	3280	23834
121	3301	23757
122	3322	23691
123	3349	23660
124	3371	23602
125	3395	23551
126	3420	23510
127	3447	23485
128	3469	23428
129	3489	23355
130	3514	23314
131	3537	23262
